Reference Type,Author of Review,Year,Title of Review,Title of Journal,Volume,Issue,Page Range,Reviewed Author,Reviewed Title,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Book Review,"Agnew, Christopher S.",2012,,History (USA),40,2,55–56,Ronnie Po-Chia Hsia,A Jesuit in the Forbidden City: Matteo Ricci 1552–1610,,,0361-2759|1930-8280,,http://www.worldcat.org/oclc/4824628930,,,16th century|17th century,Foreign Missions -- Biography,Asia -- China,"Ricci, Matteo, 1552–1610",,,,,,English,KEEP|REVIEW
Book Review,"Aguilera Hernández, Alberto",2012,,Artigrama,,27,656–657,"Antonio Astorgano Abajo, ed.","El jesuita Vicente Requeno (1743–1811), restaurador del mundo grecolatino",,,0213-1498|2444-3751,,,http://www.unizar.es/artigrama/html_dig/27.html,,18th century|19th century,Biography|Arts -- Art History,Europe -- Spain -- Aragon -- Zaragoza -- Calatorao|Europe -- Italy,"Requeno y Vives, Vicente, 1743–1811",,,,,,Spanish,CULL|REVIEW
Book Review,"Aguilera Hernández, Alberto",2012,,Artigrama,27,,656–657,"A. Astorgano Abajo, ed.","El jesuita Vicente Requeno (1743–1811), restaurador del mundo grecolatino",,,0213-1498|2444-3751,,,http://www.unizar.es/artigrama/html_dig/27.html,,18th century|19th century,Biography|Archaeology|Arts -- History,Europe -- Spain -- Zaragoza|Europe -- Spain -- Calatorao|Europe -- Italy,"Requeno y Vives, Vicente, 1743–1811",,,,,,Spanish,CULL|REVIEW
Book Review,"Agúndez, Melecio",2011,,Manresa,83,327,196–198,Lothar Lies,Mysterium Vocationis: Sondierungen zur Spiritualität ignatianischer Exerzitien,,April,0214-2457,,,,,21st century,Spirituality -- Spiritual Exercises,,,,,,,,Spanish,CULL|REVIEW
Book Review,"Agúndez, Melecio",2011,,Manresa,83,326,96–98,Michael Hettich,Den Glauben im Alltag einüben. Genese und Kriterien der ignatianischen Exerzitien im Alltag,,January,0214-2457,,,,,16th century|17th century|18th century|19th century|20th century|21st century,Spirituality -- Spiritual Exercises -- Sources,,,,,,,,Spanish,CULL|REVIEW
Book Review,"Agúndez, Melecio",2012,,Manresa,84,332,304–305,"Hans Urs von Balthasar, edited by J. Servais",Textos de Ejercicios Espirituales,,July,0214-2457,,,,,20th century,Spirituality -- Spiritual Exercises -- Text,,"von Balthasar, Hans Urs, 1905–1988",,,,,,Spanish,CULL|REVIEW
Book Review,"Agúndez, Melecio",2012,,Manresa,84,333,402–404,Stefan Kiechle,Ignatius von Loyola: Leben - Werk - Spiritualität,,October,0214-2457,,,,,16th century,Ignatius of Loyola -- Biography,Europe,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,CULL|REVIEW
Book Review,"Agúndez, Melecio",2013,,Sal terrae,101,1,81–85,Urbano Valero Agúndez,El Proyecto de renovación de la Compañía de Jesús 1967–2007,,January,1138-1094,,,,,20th century|21st century,History -- Institute,,,,,,,,Spanish,CULL|REVIEW
Book Review,"Alberts, Tara",2011,,Religious Studies Review,37,4,289–290,"Linda Gregerson and Susan Juster, eds.",Empires of God: Religious Encounters in the Early Modern Atlantic,,December,1748-0922,10.1111/j.1748-0922.2011.01561_7.x,,http://onlinelibrary.wiley.com/doi/10.1111/j.1748-0922.2011.01561_7.x/abstract,,16th century|17th century|18th century,Foreign Missions,South America,,,,,,,English,CULL|REVIEW
Book Review,"Alcáin, José Antonio",2011,,Manresa,83,327,200–202,Sylvie Robert,Les chemins de Dieu avec Ignace de Loyola,,April,0214-2457,,,,,21st century,Spirituality -- Ignatius of Loyola,,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,CULL|REVIEW
Book Review,"Alden, Dauril",2015,,Journal of Jesuit Studies,2,4,711–712,Fausto Sanches Martins,Jesuitas de Portugal: 1542–1759; Arte/culto/vida quotidiana,,,2214-1324|2214-1332,10.1163/22141332-00204008-10,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00204008-10,,16th century|17th century|18th century,History -- Regional -- Social History|History -- Art History -- Regional,Europe -- Portugal,,,,,,,English,KEEP|REVIEW
Book Review,"Alferi, Thomas",2013,,Revue d'éthique et de théologie morale,,274,126–128,Michel Castro,L’itinéraire théologique d’Henri Bouillard. De Thomas d’Aquin à Emmanuel Levinas,,June,0750-1455,,,,,20th century,Theology,,"Bouillard, Henri, 1908–1981",,,,,,French,CULL|REVIEW
Book Review,"Alix, Yves",2007,,Bulletin des bibliothèques de France,,5,,Benoît Noël and Catherine Pionchon,"Auguste Poulet-Malassis et Charles Baudelaire: 150 ans de l'édition des Fleurs du mal; Catalogue de l'exposition, Bibliothèque d'Alençon, église des Jésuites, 23 juin-14 octobre 2007",,,1292-8399,,,,,21st century,Literature -- Poetry|Biography,Europe -- France -- Alençon,,,,,,,French,CULL|REVIEW
Book Review,"Alleton, Vivienne",2013,,"East Asian Science, Technolgy, and Medicine",38,,117–120,"Cynthia Brokaw and Christopher A. Reed, eds.","From Woodblocks to the Internet: Chinese Publishing and Print Culture in Transition, circa 1800 to 2008",,,1562-918X,,,http://www.eastm.org/index.php/journal/article/view/661/573,,17th century,Foreign Missions -- Cultural Activities -- Printing|Foreign Missions -- History of Books,Asia -- China,"Verbiest, Ferdinand, 1623–1688",,,,,,English,CULL|REVIEW
Book Review,"Alonso Romo, Eduardo Javier",2010,,Archivum historicum Societatis Iesu,79,158,549–552,Miguel Anxo Pena González,La Escuela de Salamanca: De la Monarquía hispánica al Orbe católico,,July–December,0037-8887,,,,,16th century|17th century|18th century|19th century|20th century|21st century,Political Thought -- Scholasticism,Europe -- Spain -- Salamanca,,,,,,,Spanish,CULL|REVIEW
Book Review,"Alonso-Lasheras, Diego",2013,,Razón y fe,,1381,401–402,José A. Ferrer Benimeli,Palafox y los jesuitas. Análisis de una doble manipulación,,November,0034-0235,,,,,17th century|18th century,Foreign Missions,North America -- Mexico|Europe -- Spain,,,,,,,Spanish,CULL|REVIEW
Book Review,"Álvarez, Benigno Lago",2013,,Sal terrae,101,3,283–285,François Sureau,Iñigo: Una semblanza,,March,1138-1094,,,,,16th century,Ignatius of Loyola -- Historiography -- Biography,Europe,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,CULL|REVIEW
Book Review,"Álvarez Suárez, Alejandra",2005,,Collectanea christiana orientalia,2,,555–558, Giorgio Paolucci and Camille Eid,Cien preguntas sobre el islam: Una entrevista a Samir Khalil Samir,,,1697-2104,,,https://www.uco.es/revistas/index.php/cco/article/view/709/666,,,Islam|Theology -- Interreligious Dialogue,,"Khalil Samir, Samir, 1938–",,,,,,French,CULL|REVIEW
Book Review,"Amaladoss, Michael",2009,,Theological Studies,70,2,470–471,"Steven J. Pope, ed.",Hope and Solidarity: Jon Sobrino's Challenge to Christian Theology,,May,0040-5639|2169-1304,10.1177/004056390907000218,,http://tsj.sagepub.com/content/70/2/470,,20th century|21st century,Theology -- Liberation|Biography -- Intellectual,North America -- El Salvador,"Sobrino, Jon, 1938–",,,,,,English,CULL|REVIEW
Book Review,"Ambrose, Glenn",2009,,Horizons (USA),36,1,147–148,"Steven J. Pope, ed.",Hope and Solidarity: Jon Sobrino's Challenge to Christian Theology,,Spring,0360-9669|2050-8557,10.1017/S0360966900006095,,http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=8796266&fulltextType=BR&fileId=S0360966900006095,,20th century,Theology -- Liberation,,"Sobrino, Jon, 1938–",,,,,,English,CULL|REVIEW
Book Review,"Ambrose, T.",2004,,Vidyajyoti,68,2,158–160,Josef Neuner,Paradigm of Jesuit Life and Commitment,,February,0970-1079,,,,,20th century|21st century,Biography|Identity|Theology|Foreign Missions,Asia -- India|Europe -- Germany,"Neuner, Josef, 1908–2010",,,,,,English,KEEP|REVIEW
Book Review,"Amo Iribarren, Patxi Xabier del",2010,,Archivum historicum Societatis Iesu,79,158,552–553,Félix Zabala Lana,Músicos jesuitas: A lo largo de la historia,,July–December,0037-8887,,,,,16th century|17th century|18th century|19th century|20th century,Historiography -- Arts -- Music,,,,,,,,Spanish,CULL|REVIEW
Book Review,"Amsler, Nadine",2012,,Schweizerische Zeitschrift für Religions- und Kulturgeschichte,106,,700–702,"Thierry Meynard, ed.",Confucius Sinarum Philosophus (1687): The First Translation of the Confucian Classics,,,1661-3880,,,,,17th century,Foreign Missions -- Religion,Asia -- China,"Couplet, Philippe, 1623–1693|Intorcetta, Prospero, 1626–1696",,,,,,German,CULL|REVIEW
Book Review,"Amsler, Nadine",2012,,Archivum historicum Societatis Iesu,81,,427–429,"Michael J. Sweet and Leonard Zwilling, eds.","Mission to Tibet: The Extraordinary Eighteenth-Century Account of Father Ippolito Desideri, S.J.",,,0037-8887,,,,,18th century,Foreign Missions|Biography,Asia -- China -- Tibet,"Desideri, Ippolito, 1684–1733",,,,,,English,CULL|REVIEW
Book Review,"Andersen-Rodgers, David R.",2015,,Peace and Change,40,1,122–125,Daniel Philpott,Just and Unjust Peace: An Ethic of Political Reconciliation,,January,1468-0130,10.1111/pech.12103,,onlinelibrary.wiley.com/doi/10.1111/pech.12103/full,,20th century,Political Thought|Politics -- Pacifism|Theology -- Moral|Philosophy -- Ethics,North America -- El Salvador,"Ellacuría, Ignacio, 1930–1989|Martín-Baró, Ignacio, 1942–1989|Montes, Segundo, 1933–1989|Moreno, Juan Ramón, 1933–1989|López y López, Joaquín, 1918–1989|López, Armando, 1936–1989",,,,,,English,CULL|REVIEW
Book Review,"Anderson, Ash",2015,,Journal of Jesuit Studies,2,3,535–537,"David Davison and Edwin Davison, eds.",Frank Browne: A Life through the Lens,,,2214-1324|2214-1332,10.1163/22141332-00203005-20,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00203005-20,,20th century,Arts -- Photography,Europe -- Ireland,"Browne, Frank, 1880–1960",,,,,,English,KEEP|REVIEW
Book Review,"Anderson, Ash",2017,,Journal of Jesuit Studies,4,1,162–164,Edward E. O’Donnell,Father Browne’s Dublin: Photographs 1925–1950,,,2214-1332|2214-1324,10.1163/22141332-00401005-21,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00401005-21,,20th century,Arts -- Visual Arts -- Photography|Biography,Europe -- Ireland|Europe -- Ireland -- Dublin,"Browne, Frank, 1880–1960",,,,,,English,KEEP|REVIEW
Book Review,"Andes, Stephen",2017,,Journal of Jesuit Studies,4,4,726–728,Marisol López-Menéndez,"Miguel Pro: Martyrdom, Politics, and Society in Twentieth-Century Mexico",,,2214-1324|2214-1332,10.1163/22141332-00404008-16,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00404008-16,,20th century,Foreign Missions -- History -- Regional|Foreign Missions -- Martyrdom|Foreign Missions -- Politics,North America -- Mexico,"Pro Juárez, Miguel Agustín, 1891–1927",,,,,,English,KEEP|REVIEW
Book Review,"Andrews, Paul",2011,,Milltown Studies,,68,89–91,Francesca Bugliani Knox,The Eye of the Eagle: John Donne and the Legacy of Ignatius Loyola,,Winter,0032-1428,,,,,16th century|17th century,Ignatius of Loyola -- Influence,Europe,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,English,CULL|REVIEW
Book Review,"Andrien, Kenneth J.",2007,,The Americas,64,1,122–124,Sabine Hyland,"The Jesuit and the Incas: The Extraordinary Life of Padre Blas Valera, S.J.",,July,1533-6247|0003-1615,10.1353/tam.2007.0095,,http://muse.jhu.edu/journals/the_americas/v064/64.1andrien.html,,16th century,Foreign Missions -- Native Americans|Foreign Missions -- Biography|Foreign Missions -- History -- Regional,South America -- Peru,"Valera, Blas, 1551–1597",,,,,,English,KEEP|REVIEW
Book Review,"Anthony, Cara L.",2015,,Horizons (USA),42,2,458–459,Leonardo Boff,Francis of Rome & Francis of Assisi: A New Springtime for the Church,,December,0360-9669|2050-8557,10.1017/hor.2015.67,,https://www.cambridge.org/core/journals/horizons/article/francis-of-rome-and-francis-of-assisi-a-new-springtime-for-the-church-by-leonardoboff-maryknoll-ny-orbis-books-2014-vi-160-pages-1800-paper/549820AD69ACD7DBBAE9AB85AE17F308,,21st century,Popes -- Biography|Theology -- Ecclesiology,,"Francis, Pope, 1936–",,,,,,English,CULL|REVIEW
Book Review,"Appuhn-Radtke, Sibylle",2011,,Archivum historicum Societatis Iesu,80,159,287–289,Richard Bösel and Herbert Karner,Jesuitenarchitektur in Italien (1540–1773),,,0037-8887,,,,,16th century|17th century|18th century,Arts -- Architecture,Europe -- Italy,,,,,,,German,CULL|REVIEW
Book Review,"Ardura, Bernard",2007,,Gregorianum,88,1,201–203,Franco Motta,Bellarmino: Una teologia politica della controriforma,,,0017-4114,10.2307/23581916,,http://www.jstor.org/stable/23581916,,16th century|17th century,Theology|Political Thought|History -- Counter-Reformation,Europe,"Bellarmino, Roberto Francesco Romolo, Saint, 1542–1621",,,,,,French,CULL|REVIEW
Book Review,"Ari-Chachaki, Waskar T.",2014,,History (USA),42,3,90–91,Gary Van Valen,"Indigenous Agency in the Amazon: The Mojos in Liberal and Rubber-Boom Bolivia, 1842–1932",,,0361-2759|1930-8280,10.1080/03612759.2014.894436,,http://www.tandfonline.com/doi/abs/10.1080/03612759.2014.894436,,17th century|18th century,Foreign Missions -- Indigenous People|Foreign Missions -- Anthropology|Foreign Missions -- History -- Regional,South America -- Bolivia,,,,,,,English,CULL|REVIEW
Book Review,"Armstrong, Catherine",2012,,Itinerario,36,2,191–192,Owen Stanwood,The Empire Reformed: English America in the Age of the Glorious Revolution,,August,2041-2827,10.1017/S0165115312000770,,http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=8728475&fileId=S0165115312000770,,17th century,Foreign Missions|Politics,North America,,,,,,,English,CULL|REVIEW
Book Review,"Arnold, Lauren",2017,,Journal of Jesuit Studies,4,2,333–335,Marco Musillo,"The Shining Inheritance: Italian Painters at the Qing Court, 1699–1812",,,2214-1324|2214-1332,10.1163/22141332-00402008-13,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00402008-13,,17th century|18th century|19th century,Foreign Missions -- Politics -- Court Life|Foreign Missions -- Arts -- Painting|Foreign Missions -- History -- Regional,Asia -- China,"Castiglione, Giuseppe, 1688–1766",,,,,,English,KEEP|REVIEW
Book Review,"Arnold, Matthieu",2007,,Revue d'histoire et de philosophie religieuses,87,4,495,"Henri de Lubac, edited by Jacques Prévotat, prefaced, introduced, and annotated by Renée Bédarida",Résistance chrétienne au nazisme,,,0035-2403,,,http://www.rhpr.net/forms/rhpr.asp?Num=874R27,,20th century,Nazism|Politics|Political Thought -- Writings,Europe,"de Lubac, Henri, 1896–1991",,,,,,French,CULL|REVIEW
Book Review,"Arnold, Matthieu",2010,,Revue d'histoire et de philosophie religieuses,86,4,559–560,"Rolf Decot, ed.",Expansion und Gefährdung. Amerikanische Mission und Europäische Krise der Jesuiten im 18. Jahrhundert,,,0035-2403,,,http://www.rhpr.net/forms/rhpr.asp?Num=864R27,,17th century|18th century,Government -- Recruitment|Foreign Missions -- Recruitment|History -- General -- Suppression,Europe|South America,,,,,,,French,CULL|REVIEW
Book Review,"Arnold, Matthieu",2010,,Revue d'histoire et de philosophie religieuses,90,1,118–119,Marie-Claude Flageat,"Les jésuites français dans la Grande Guerre. Témoins, victimes, héros, apôtres",,,0035-2403,,,http://www.rhpr.net/art/2010_1.html,,20th century,History -- General -- World War I,Europe -- France,,,,,,,French,CULL|REVIEW
Book Review,"Arsic, Branka",2013,,Common Knowledge,19,1,143–144,Erik Seeman,The Huron-Wendat Feast of the Dead: Indian-European Encounters in Early North America,,,1538-4578,10.1215/0961754x-1815926,,http://muse.jhu.edu/journals/common_knowledge/v019/19.1.arsicandx0301.html,,17th century,Foreign Missions,North America -- Canada|North America -- USA,,,,,,,English,CULL|REVIEW
Book Review,"Arthur, Rosemary A.",2010,,Journal of Theological Studies,61,2,802–804,"Sarah Coakley and Charles M. Stang, eds.",Re-thinking Dionysius the Areopagite,,October,1477-4607|0022-5185,10.1093/jts/flq055,,http://jts.oxfordjournals.org/content/61/2/802.short,,20th century,Theology -- Sources,,"von Balthasar, Hans Urs, 1905–1988",,,,,,English,CULL|REVIEW
Book Review,"Arzubialde, Santiago",2003,,Estudios eclesiásticos,78,305,417–421,J. Santiago Madrigal Terrazas,Estudios de eclesiología ignaciana,,April–June,0210-1610,,,,,16th century,Theology -- Ecclesiology|Ignatius of Loyola -- Theology,Europe,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,CULL|REVIEW
Book Review,"Ashley, James Matthew",2001,,Theological Studies,62,1,178–180,,La teología histórica de Ignacio Ellacuría,,March,0040-5639,,,,,20th century,Theology -- Liberation|Theology -- History,,"Ellacuría, Ignacio, 1930–1989",,,,,,English,CULL|REVIEW
Book Review,"Ashley, James Matthew",2010,,Spiritus (USA),10,2,321–324,"Pedro Arrupe, edited by Philip Endean and Elizabeth Lock, translated by Joseph A. Munitz",Chosen by God: Pedro Arrupe's Retreat Notes 1965,,Fall,1535-3117|1533-1709,10.1353/scs.2010.0016,,http://muse.jhu.edu/journals/spiritus/v010/10.2.ashley01.html,,20th century,Generals -- Pedro Arrupe -- Writings -- Diaries|Spirituality -- Retreats,Europe -- Italy -- Rome,"Arrupe, Pedro, 1907–1991",,"Volume 10, Number 2, Fall 2010",,,,English,CULL|REVIEW
Book Review,"Ashley, James Matthew",2015,,Journal of Jesuit Studies,2,2,355–358,Robert Lassalle-Klein,"Blood and Ink: Ignacio Ellacuría, Jon Sobrino, and the Jesuit Martyrs of the University of Central America",,,2214-1324|2214-1332,10.1163/22141332-00202007-19,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00202007-19,,20th century,Foreign Missions -- Martyrdom|Foreign Missions -- Biography|Theology -- Liberation,North America -- El Salvador -- San Salvador,"Ellacuría, Ignacio, 1930–1989|Sobrino, Jon, 1938–",,,,,,English,KEEP|REVIEW
Book Review,"Ashley, James Matthew",2017,,Journal of Jesuit Studies,4,4,720–722,"Sebastian Pittl and Gunter Prüller-Jagenteufel, eds.",Unterwegs zu einer neuen 'Zivilisation geteilter Genügsamkeit': Perspektivenutopischen Denkens 25 Jahre nach dem Tod Ignacio Ellacurías,,,2214-1324|2214-1332,10.1163/22141332-00404008-14,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00404008-14,,20th century|21st century,Theology|Political Thought|Biography -- Intellectual,,"Ellacuría, Ignacio, 1930–1989",,,,,,English,KEEP|REVIEW
Book Review,"Ashley, Leonard R. N.",2010,,Bibliothèque d’humanisme et Renaissance,72,1,164,Liam Matthew Brockey,Journey to the East,,,0006-1999,,,http://www.jstor.org/stable/20680048,,16th century|17th century|18th century,Foreign Missions -- Travel|Primary Sources|Foreign Missions -- Biography,Asia -- China,"Ricci, Matteo, 1552–1610",,,,,,English,CULL|REVIEW
Book Review,"Ashley, Leonard R. N.",2010,,Bibliothèque d’humanisme et Renaissance,72,1,162–163,John Krause,"Shakespeare, the Earl, and the Jesuit",,,0006-1999,,,http://www.jstor.org/stable/20680048,,16th century,Controversies -- England|History -- Regional|Literature -- History|Arts -- Theater,Europe -- UK -- England,"Southwell, Robert, Saint, c.1561–1595",,,,,,English,KEEP|REVIEW
Book Review,"Ashley, Leonard R. N.",2011,,Bibliothèque d’humanisme et Renaissance,73,2,404,Fernando Amado Aymoré,Die Jesuiten im kolonialen Brasilien,,,0006-1999,,,http://www.jstor.org/stable/41479785,,16th century|17th century|18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Colonialism,South America -- Brazil,,,,,,,English,KEEP|REVIEW
Book Review,"Ashley, Leonard R. N.",2011,,Bibliothèque d’humanisme et Renaissance,73,1,175,Paul F. Grendler,"The University of Mantua, the Gonzaga and the Jesuits, 1584–1630",,,0006-1999,,,http://www.jstor.org/stable/41239599,,16th century|17th century,Education -- Universities|History -- Local|Politics -- Monarchy,Europe -- Italy -- Mantua,,,,,,,English,KEEP|REVIEW
Book Review,"Astarita, Tommaso",2005,,Catholic Historical Review,91,4,816–817,Jennifer Selwyn,A Paradise Inhabited by Devils: The Jesuits' Civilizing Mission for Early Modern Naples,,October,0008-8080,,,https://muse.jhu.edu/article/191826,,16th century|17th century|18th century,History -- Local -- Social History,Europe -- Italy -- Naples,,,,,,,English,KEEP|REVIEW
Book Review,"Asti, Francesco",2010,,Archivum historicum Societatis Iesu,79,157,237–239,Patrick Goujon,Prendre part à l'intransmissible. La communication spirituelle à travers la correspondence de Jean-Joseph Surin,,January–June,0037-8887,,,,,17th century,Spirituality -- Mysticism,Europe -- France,"Surin, Jean-Joseph, 1600–1665",,,,,,Italian,CULL|REVIEW
Book Review,"Astorgano Abajo, Antonio",2015,,Antiguos jesuitas en Iberoamérica,3,2,260–265,"Oscar Flores Flores, ed.","El clasicismo en la época de Pedro José Márquez (1741–1820). Arqueología, filología, historia, música y teoría arquitectónica",,July–December,2314-3908,,,,,18th century|19th century,Foreign Missions -- Arts -- Art History|Foreign Missions -- Archaeology -- History|Foreign Missions -- Literature -- Philology|Foreign Missions -- Historiography|Foreign Missions -- Arts -- Music|Foreign Missions -- Arts -- Architecture -- Theory,North America -- Mexico,"Marquez, Pietro, 1741–1820",,,,,,Spanish,CULL|REVIEW
Book Review,"Asunción, Lavrin",2011,"Indoctrination, Conversion, and Belief in the Colonial Iberian World",Latin American Research Review,46,3,181–190,Guillermo Wilde,Religión y poder en las misiones de Guaraníes,,,1542-4278,10.1353/lar.2011.0048,,http://muse.jhu.edu/journals/latin_american_research_review/v046/46.3.lavrin.html,,17th century|18th century,Foreign Missions,South America -- Paraguay,,,,,,,English,CULL|REVIEW
Book Review,"Athans, Mary Christine",2014,,Theological Studies,75,4,905–906,"James Bernauer and Robert A. Maryks, eds.",'The Tragic Couple': Encounters between Jews and Jesuits,,December,0040-5639|2169-1304,10.1177/0040563914548658d,,http://journals.sagepub.com/doi/abs/10.1177/0040563914548658d,,16th century|17th century|18th century|19th century|20th century,Jews|Controversies -- Conversos|History -- General,Europe|Asia,,,,,,,English,KEEP|REVIEW
Book Review,"Austin, Shawn Michael",2016,,Journal of Jesuit Studies,3,1,102–104,Robert H. Jackson,"Demographic Change and Ethnic Survival among the Sedentary Populations on the Jesuit Mission Frontiers of Spanish South America, 1609–1803: The Formation and Persistence of Mission Communities in a Comparative Context",,,2214-1324,10.1163/22141332-00301005-05,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00301005-05,,18th century,Foreign Missions -- History -- Regional -- Social|Foreign Missions -- Indigenous People|Foreign Missions -- Ethnography,South America -- Paraguay,,"Leiden; Boston: Brill, 2015. Pp. xvi + 290. Pb, $128.",,,,,English,KEEP|REVIEW
Book Review,"Baciero, Carlos",2006,,Hispania sacra,58,118,777–778,Paolo Broggio,Evangelizzare il mondo: Le missioni della Compagnia di Gesù tra Europa e America (secoli XVI–XVII),,July–December,0018-215X,,,http://hispaniasacra.revistas.csic.es/index.php/hispaniasacra/article/view/21/21,,16th century|17th century,Foreign Missions -- History -- General|Foreign Missions -- Evangelization -- Strategies,South America|North America|Europe,,,,,,,Spanish,CULL|REVIEW
